,Actor,Unnamed: 1,Born,Died,Age,Nomina-tions,Wins,Lead and sup-porting details,First winning film role or first nomination(also see list of all nominated roles),Firstyear,Lastyear
784,Martha Scott,F,1912,2003,90,1,0,L,Our Town,1940,1940
785,Kristin Scott Thomas,F,1960,~,62,1,0,L,"English Patient, The",1996,1996
786,George Segal,M,1934,2021,87,1,0,S,Who's Afraid of Virginia Woolf?,1966,1966
787,Peter Sellers,M,1925,1980,54,2,0,L,Dr. Strangelove,1964,1979
788,Chloë Sevigny,F,1974,~,47,1,0,S,Boys Don't Cry,1999,1999
789,Amanda Seyfried,F,1985,~,36,1,0,S,Mank,2020,2020
790,Michael Shannon,M,1974,~,48,2,0,S,Revolutionary Road,2008,2016
791,Omar Sharif,M,1932,2015,83,1,0,S,Lawrence of Arabia,1962,1962
792,Robert Shaw,M,1927,1978,51,1,0,S,"Man for All Seasons, A",1966,1966
793,Norma Shearer,F,1902,1983,80,5,1,L,"Divorcee, The",1930,1938
794,Sam Shepard,M,1943,2017,73,1,0,S,"Right Stuff, The",1983,1983
795,Talia Shire,F,1946,~,76,2,0,1L:1S,Rocky,1974,1976
796,Anne Shirley,F,1918,1993,75,1,0,S,Stella Dallas,1937,1937
797,Elisabeth Shue,F,1963,~,59,1,0,L,Leaving Las Vegas,1995,1995
798,Gabourey Sidibe,F,1983,~,39,1,0,L,Precious,2009,2009
799,Sylvia Sidney,F,1910,1999,88,1,0,S,"Summer Wishes, Winter Dreams",1973,1973
800,Simone Signoret,F,1921,1985,64,2,1,L,Room at the Top,1959,1965
801,J. K. Simmons,M,1955,~,67,2,1,S,Whiplash,2014,2021
802,Jean Simmons,F,1929,2010,80,2,0,1L:1S,"Happy Ending, The",1948,1969
803,Frank Sinatra,M,1915,1998,82,2,1,1L0:1S1,From Here to Eternity,1953,1955
804,Gary Sinise,M,1955,~,67,1,0,S,Forrest Gump,1994,1994
805,Lilia Skala,F,1896,1994,98,1,0,S,Lilies of the Field,1963,1963
806,Kodi Smit-McPhee,M,1996,~,26,1,0,S,The Power of the Dog,2021,2021
807,Maggie Smith,F,1934,~,87,6,2,2L1:4S1,"Prime of Miss Jean Brodie, The (1969) [w 31]",1965,2001
808,Will Smith,M,1968,~,54,3,1,L,King Richard,2001,2021
809,Carrie Snodgress,F,1945,2004,58,1,0,L,Diary of a Mad Housewife,1970,1970
810,Gale Sondergaard,F,1899,1985,86,2,1,S,Anthony Adverse,1936,1946
811,Mira Sorvino,F,1967,~,55,1,1,S,Mighty Aphrodite,1995,1995
812,Ann Sothern,F,1909,2001,92,1,0,S,"Whales of August, The",1987,1987
813,Sissy Spacek,F,1949,~,72,6,1,L,Coal Miner's Daughter (1980),1976,2001
814,Kevin Spacey,M,1959,~,63,2,2,1L1:1S1,American Beauty [w 32],1995,1999
815,Octavia Spencer,F,1970,~,52,3,1,S,"Help, The",2011,2017
816,June Squibb,F,1929,~,92,1,0,S,Nebraska,2013,2013
817,Robert Stack,M,1919,2003,84,1,0,S,Written on the Wind,1956,1956
818,Sylvester Stallone,M,1946,~,76,2,0,1L:1S,Rocky,1976,2015
819,Terence Stamp,M,1938,~,84,1,0,S,Billy Budd,1962,1962
820,Lakeith Stanfield,M,1991,~,31,1,0,S,Judas and the Black Messiah,2020,2020
821,Kim Stanley,F,1925,2001,76,2,0,1L:1S,Séance on a Wet Afternoon,1964,1982
822,Barbara Stanwyck,F,1907,1990,82,4,0,L,Stella Dallas,1937,1948
823,Maureen Stapleton,F,1925,2006,80,4,1,S,Reds,1958,1981
824,Imelda Staunton,F,1956,~,66,1,0,L,Vera Drake,2004,2004
825,Mary Steenburgen,F,1953,~,69,1,1,S,Melvin and Howard,1980,1980
826,Rod Steiger,M,1925,2002,77,3,1,2L1:1S0,In the Heat of the Night,1954,1967
827,Hailee Steinfeld,F,1996,~,25,1,0,S,True Grit,2010,2010
828,James Stephenson,M,1889,1941,52,1,0,S,"Letter, The",1940,1940
829,Jan Sterling,F,1921,2004,82,1,0,S,"High and the Mighty, The",1954,1954
830,James Stewart,M,1908,1997,89,5,1,L,"Philadelphia Story, The (1940)",1939,1959
831,Kristen Stewart,F,1990,~,32,1,0,L,Spencer,2021,2021
832,Dean Stockwell,M,1936,2021,85,1,0,S,Married to the Mob,1988,1988
833,Emma Stone,F,1988,~,33,3,1,1L1:2S0,La La Land (2016),2014,2018
834,Lewis Stone,M,1879,1953,73,1,0,L,"Patriot, The",1928,1928
835,Sharon Stone,F,1958,~,64,1,0,L,Casino,1995,1995
836,Beatrice Straight,F,1914,2001,86,1,1,S,Network,1976,1976
837,Lee Strasberg,M,1901,1982,80,1,0,S,"Godfather Part II, The",1974,1974
838,David Strathairn,M,1949,~,73,1,0,L,"Good Night, and Good Luck",2005,2005
839,Robert Strauss,M,1913,1975,61,1,0,S,Stalag 17,1953,1953
840,Meryl Streep,F,1949,~,73,21,3,17L2:4S1,Sophie's Choice (1982)[w 33],1978,2017
841,Barbra Streisand,F,1942,~,80,2,1,L,Funny Girl,1968,1973
842,Erich von Stroheim,M,1885,1957,71,1,0,S,Sunset Boulevard,1950,1950
843,Gloria Stuart,F,1910,2010,100,1,0,S,Titanic,1997,1997
844,Margaret Sullavan,F,1909,1960,50,1,0,L,Three Comrades,1938,1938
845,Janet Suzman,F,1939,~,83,1,0,L,Nicholas and Alexandra,1971,1971
846,Hilary Swank,F,1974,~,48,2,2,L,Boys Don't Cry [w 34],1999,2004
847,Gloria Swanson,F,1899,1983,84,3,0,L,Sadie Thompson,1928,1950
848,Tilda Swinton,F,1960,~,61,1,1,S,Michael Clayton,2007,2007
849,Russ Tamblyn,M,1934,~,87,1,0,S,Peyton Place,1957,1957
850,Akim Tamiroff,M,1899,1972,72,2,0,S,"General Died at Dawn, The",1936,1943
851,Jessica Tandy,F,1909,1994,85,2,1,1L1:1S0,Driving Miss Daisy,1989,1991
852,Elizabeth Taylor,F,1932,2011,79,5,2,L,BUtterfield 8 (1960) [w 35],1957,1966
853,Charlize Theron,F,1975,~,47,3,1,L,Monster,2003,2019
854,Emma Thompson,F,1959,~,63,4,1,3L1:1S0,Howards End [n 10],1992,1995
855,Billy Bob Thornton,M,1955,~,67,2,0,1L:1S,Sling Blade,1996,1998
856,Uma Thurman,F,1970,~,52,1,0,S,Pulp Fiction,1994,1994
857,Lawrence Tibbett,M,1896,1960,63,1,0,L,"Rogue Song, The",1930,1930
858,Gene Tierney,F,1920,1991,70,1,0,L,Leave Her to Heaven,1945,1945
859,Jennifer Tilly,F,1958,~,64,1,0,S,Bullets over Broadway,1994,1994
860,Meg Tilly,F,1960,~,62,1,0,S,Agnes of God,1985,1985
861,Richard Todd,M,1919,2009,90,1,0,L,"Hasty Heart, The",1949,1949
862,Marisa Tomei,F,1964,~,57,3,1,S,My Cousin Vinny,1992,2008
863,Lily Tomlin,F,1939,~,83,1,0,S,Nashville,1975,1975
864,Franchot Tone,M,1905,1968,63,1,0,L,Mutiny on the Bounty,1935,1935
865,Topol,M,1935,~,87,1,0,L,Fiddler on the Roof,1971,1971
866,Rip Torn,M,1931,2019,88,1,0,S,Cross Creek,1983,1983
867,Lee Tracy,M,1898,1968,70,1,0,S,"Best Man, The",1964,1964
868,Spencer Tracy,M,1900,1967,67,9,2,L,Captains Courageous (1937) [w 36],1936,1967
869,Henry Travers,M,1874,1965,91,1,0,S,Mrs. Miniver,1942,1942
870,John Travolta,M,1954,~,68,2,0,L,Saturday Night Fever,1977,1994
871,Claire Trevor,F,1910,2000,90,3,1,S,Key Largo (1948),1937,1954
872,Massimo Troisi,M,1953,1994,41,1,0,L,"Postman, The",1995,1995
873,Stanley Tucci,M,1960,~,61,1,0,S,"Lovely Bones, The",2009,2009
874,Tom Tully,M,1908,1982,73,1,0,S,"Caine Mutiny, The",1954,1954
875,Kathleen Turner,F,1954,~,68,1,0,L,Peggy Sue Got Married,1986,1986
876,Lana Turner,F,1921,1995,74,1,0,L,Peyton Place,1957,1957
877,Susan Tyrrell,F,1945,2012,67,1,0,S,Fat City,1972,1972
878,Cicely Tyson,F,1924,2021,96,1,0,L,Sounder,1972,1972
879,Liv Ullmann,F,1938,~,83,2,0,L,"Emigrants, The",1972,1976
880,Miyoshi Umeki,F,1929,2007,78,1,1,S,Sayonara,1957,1957
881,Mary Ure,F,1933,1975,42,1,0,S,Sons and Lovers,1960,1960
882,Peter Ustinov,M,1921,2004,82,3,2,S,Spartacus (1960) [w 37],1951,1964
883,Brenda Vaccaro,F,1939,~,82,1,0,S,Once Is Not Enough,1975,1975
884,Jo Van Fleet,F,1915,1996,80,1,1,S,East of Eden,1955,1955
885,Diane Varsi,F,1938,1992,54,1,0,S,Peyton Place,1957,1957
886,Robert Vaughn,M,1932,2016,83,1,0,S,"Young Philadelphians, The",1959,1959
887,Alicia Vikander,F,1988,~,34,1,1,S,"Danish Girl, The",2015,2015
888,Jon Voight,M,1938,~,83,4,1,3L1:1S0,Coming Home (1978),1969,2001
889,Max von Sydow,M,1929,2020,90,2,0,1L:1S,Pelle the Conqueror,1988,2011
890,Mark Wahlberg,M,1971,~,51,1,0,S,"Departed, The",2006,2006
891,Christopher Walken,M,1943,~,79,2,1,S,"Deer Hunter, The",1978,2002
892,Quvenzhané Wallis,F,2003,~,19,1,0,L,Beasts of the Southern Wild,2012,2012
893,Julie Walters,F,1950,~,72,2,0,1L:1S,Educating Rita,1983,2000
894,Christoph Waltz,M,1956,~,66,2,2,S,Inglourious Basterds [w 38],2009,2012
895,Jack Warden,M,1920,2006,85,2,0,S,Shampoo,1975,1978
896,H. B. Warner,M,1875,1958,83,1,0,S,Lost Horizon,1937,1937
897,Lesley Ann Warren,F,1946,~,76,1,0,S,Victor/Victoria,1982,1982
898,Denzel Washington,M,1954,~,67,9,2,7L1:2S1,Glory (1989) [w 39],1987,2021
899,Ken Watanabe,M,1959,~,63,1,0,S,"Last Samurai, The",2003,2003
900,Ethel Waters,F,1896,1977,80,1,0,S,Pinky,1949,1949
901,Sam Waterston,M,1940,~,81,1,0,L,"Killing Fields, The",1984,1984
902,Emily Watson,F,1967,~,55,2,0,L,Breaking the Waves,1996,1998
903,Lucile Watson,F,1879,1962,83,1,0,S,Watch on the Rhine,1943,1943
904,Naomi Watts,F,1968,~,54,2,0,L,21 Grams,2003,2012
905,John Wayne,M,1907,1979,72,2,1,L,True Grit,1949,1969
906,Jacki Weaver,F,1947,~,75,2,0,S,Animal Kingdom,2010,2012
907,Sigourney Weaver,F,1949,~,73,3,0,2L:1S,Aliens [n 11],1986,1988
908,Clifton Webb,M,1889,1966,76,3,0,1L:2S,Sitting Pretty,1944,1948
909,Rachel Weisz,F,1970 *,~,52,2,1,S,"Constant Gardener, The",2005,2018
910,Tuesday Weld,F,1943,~,79,1,0,S,Looking for Mr. Goodbar,1977,1977
911,Orson Welles,M,1915,1985,70,1,0,L,Citizen Kane,1941,1941
912,Oskar Werner,M,1922,1984,61,1,0,L,Ship of Fools,1965,1965
913,Forest Whitaker,M,1961,~,61,1,1,L,"Last King of Scotland, The",2006,2006
914,Stuart Whitman,M,1928,2020,92,1,0,L,"Mark, The",1961,1961
915,James Whitmore,M,1921,2009,87,2,0,1L:1S,"Give 'em Hell, Harry!",1949,1975
916,May Whitty,F,1865,1948,82,2,0,S,Night Must Fall,1937,1942
917,Richard Widmark,M,1914,2008,93,1,0,S,Kiss of Death,1947,1947
918,Dianne Wiest,F,1948,~,74,3,2,S,Hannah and Her Sisters [w 40],1986,1994
919,Jack Wild,M,1952,2006,53,1,0,S,Oliver!,1968,1968
920,Cornel Wilde,M,1912,1989,77,1,0,L,"Song to Remember, A",1945,1945
921,Gene Wilder,M,1933,2016,83,1,0,S,"Producers, The",1968,1968
922,Tom Wilkinson,M,1948,~,74,2,0,1L:1S,In the Bedroom,2001,2007
923,Cara Williams,F,1925,2021,96,1,0,S,"Defiant Ones, The",1958,1958
924,Michelle Williams,F,1980,~,42,4,0,2L:2S,Blue Valentine (2010),2005,2016
925,Robin Williams,M,1951,2014,63,4,1,3L0:1S1,Good Will Hunting,1987,1997
926,Chill Wills,M,1902,1978,76,1,0,S,"Alamo, The",1960,1960
927,Paul Winfield,M,1939,2004,64,1,0,L,Sounder,1972,1972
928,Oprah Winfrey,F,1954,~,68,1,0,S,"Color Purple, The",1985,1985
929,Debra Winger,F,1955,~,67,3,0,L,"Officer and a Gentleman, An",1982,1993
930,Mare Winningham,F,1959,~,63,1,0,S,Georgia,1995,1995
931,Kate Winslet,F,1975,~,47,7,1,4L1:3S0,"Reader, The (2008)",1995,2015
932,Shelley Winters,F,1920,2006,85,4,2,1L0:3S2,"Diary of Anne Frank, The (1959) [w 41]",1951,1972
933,Reese Witherspoon,F,1976,~,46,2,1,L,Walk the Line,2005,2014
934,Natalie Wood,F,1938,1981,43,3,0,2L:1S,Splendor in the Grass (1961),1955,1963
935,Peggy Wood,F,1892,1978,86,1,0,S,"Sound of Music, The",1965,1965
936,Alfre Woodard,F,1952,~,69,1,0,S,Cross Creek,1983,1983
937,James Woods,M,1947,~,75,2,0,1L:1S,Salvador,1986,1996
938,Joanne Woodward,F,1930,~,92,4,1,L,"Three Faces of Eve, The",1957,1990
939,Monty Woolley,M,1888,1963,74,2,0,1L:1S,"Pied Piper, The",1942,1944
940,Teresa Wright,F,1918,2005,86,3,1,1L0:2S1,Mrs. Miniver [n 12],1941,1942
941,Margaret Wycherly,F,1881,1956,74,1,0,S,Sergeant York,1941,1941
942,Jane Wyman,F,1917,2007,90,4,1,L,Johnny Belinda (1948),1946,1954
943,Ed Wynn,M,1886,1966,79,1,0,S,"Diary of Anne Frank, The",1959,1959
944,Diana Wynyard,F,1906,1964,58,1,0,L,Cavalcade,1933,1933
945,Steven Yeun,M,1983,~,38,1,0,L,Minari,2020,2020
946,Susannah York,F,1939,2011,72,1,0,S,"They Shoot Horses, Don't They?",1969,1969
947,Burt Young,M,1940,~,82,1,0,S,Rocky,1976,1976
948,Gig Young,M,1913,1978,64,3,1,S,"They Shoot Horses, Don't They?",1951,1969
949,Loretta Young,F,1913,2000,87,2,1,L,"Farmer's Daughter, The",1947,1949
950,Roland Young,M,1887,1953,65,1,0,S,Topper,1937,1937
951,Youn Yuh-jung,F,1947,~,75,1,1,S,Minari,2020,2020
952,Renée Zellweger,F,1969,~,53,4,2,3L1:1S1,Judy [w 42],2001,2019
953,Catherine Zeta-Jones,F,1969,~,53,1,1,S,Chicago,2002,2002
